Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
EST,Finland,1994,,1,,Viima,patrol craft,1,,1995,Second hand,Second-hand; Estonian designation Maru,2,2,2
EST,Finland,2004,,60,,XA-180,APC,60,?,2005; 2006; 2007,Second hand,Second-hand; EEK200 m ($17 m) deal (incl EEK62 m for overhaul before delivery and EEK25 m for armament); incl 2 commnad post and 4 ambulance version,0.12,7.2,7.2
EST,France,2009,,2,,Ground Master-400,air search radar,2,,2013; 2015,New,EUR28 m 'MRR-2010' project (part of EUR200 m deal incl 12 for Finland); GM-403 version; for 'BALTNET' air surveillance network,13,26,26
EST,France,2023,,2,,Ground Master-400,air search radar,0,,,New,Part of 'MRR-2023' project; Ground Master-400 Alpha version,13,26,0
EST,France,2007,,100,?,Mistral,portable SAM,100,?,2008; 2009; 2010,New,Part of EUR60 m deal; Mistral-2 version,0.09,9,9
EST,France,2015,,100,?,Mistral,portable SAM,100,?,2015; 2017; 2018; 2019,New,EUR24 m deal; Mistral M3 version,0.09,9,9
EST,France,2018,,100,?,Mistral,portable SAM,100,?,2020; 2021; 2022,New,Mistral-3 version,0.09,9,9
EST,France,1996,,21,?,DRPT-5 Rasit,ground surv radar,21,?,1998; 1999,New,,0.1,2.1,2.1
EST,Germany,2003,,24,,FH-70 155mm,towed gun,24,,2003; 2004; 2005,Second hand,Second-hand; EUR7 m deal,0.4,9.6,9.6
EST,Germany,1996,,2,,Frauenlob/Type-362,minesweeper,2,,1997,Second hand,Second-hand; $26 m aid; Estonian designation Kalev,3.2,6.4,6.4
EST,Germany,2023,,2,?,IRIS-T SL,SAM system,0,,,New,EUR400 m deal; bought in cooperation with Latvia; delivery planned from 2024,25,50,0
EST,Germany,2023,,,,IRIS-T SLM,SAM,0,,,New,For IRIS-T SL SAM system,0.4,0,0
EST,Germany,1993,?,2,,Kondor,minesweeper,2,,1994,Second hand,Former GDR equipment; armament removed before delivery; Estonian designation Vambola; for use as patrol craft,6,12,12
EST,Germany,1993,?,2,,L-410 Turbolet,light transport aircraft,2,,1993,Second hand,Former GDR equipment; aid; for border guard; L-410UVP version,1.04,2.08,2.08
EST,Germany,1999,,2,,Lindau/Type-320,minesweeper,2,,2000,Second hand,Second-hand; aid; Estonian designation Wambola,4.4,8.8,8.8
EST,Germany,1995,,3,?,Mi-8T,transport helicopter,3,?,1995,Second hand,Former GDR equipment; for SAR; aid; for Ministry of the Interior; no. could be 4,2.4,7.2,7.2
EST,Germany,2003,?,200,?,MILAN,anti-tank missile,200,?,2003; 2004,Second hand,Second-hand; EUR7.5 m deal,0,0.8,0.8
EST,Israel,2021,,,,Blue Spear,anti-ship missile,0,,,New,For Blue Spear coastal defence system,0,0,0
EST,Israel,2021,,,,Blue Spear CDS,coastal defence system,0,,,New,Delivery planned 2024,0,0,0
EST,Israel,2020,?,12,?,M-65 120mm,mortar,12,,2021; 2022,New,A7A2 version,0.25,3,3
EST,Israel,1993,,130,?,MAPATS,anti-tank missile,130,?,1994; 1996,New,,0.01,1.3,1.3
EST,Israel,2023,,,,Mini Harpy,loitering munition,0,,,New,Delivery planned from 2024,0,0,0
EST,Israel,2019,,100,?,Spike-MR/LR,anti-tank missile,100,?,2020; 2021,New,From German EuroSpike production line; Spike LR version,0.03,3,3
EST,Israel,2019,?,40,?,Spike-NLOS,SSM/ASM,40,,2020,New,For coastal defence (anti-ship) use,0.15,6,6
EST,Israel,2021,,500,?,Spike-SR,anti-tank missile,300,?,2022; 2023,New,From German production line,0.02,10,6
EST,South Korea,2018,,24,,K-9 Thunder 155mm,self-propelled gun,24,?,2020; 2021; 2022; 2023,Second hand,EUR83 m deal; second-hand; Estonian designation Kou,1.8,43.2,43.2
EST,South Korea,2023,,12,,K-9 Thunder 155mm,self-propelled gun,0,,,Second hand,EUR83 m deal; second-hand; Estonian designation Kou; delivery planned by 2026,1.8,21.6,0
EST,Netherlands,2014,,2,,BrPz-1 Biber,armoured bridgelayer,2,?,2017,Second hand,Second-hand,0.4,0.8,0.8
EST,Netherlands,2014,,2,,BPz-2,ARV,2,?,2016; 2017,Second hand,Second-hand,0.56,1.12,1.12
EST,Netherlands,2014,,44,,CV-9035,IFV,44,?,2016; 2017; 2018; 2019,New,Second-hand (but probably almost not used by Netherlands); CV-9035NL version,1.8,79.2,79.2
EST,Netherlands,2014,,2,,PiPz-1,AEV,2,?,2017,Second hand,Second-hand,0.7,1.4,1.4
EST,Netherlands,2010,,81,,XA-180,APC,81,?,2010; 2011; 2012; 2013; 2014; 2015; 2016,Second hand,Second-hand; EEK320 m ($25-29 m) deal; incl for use in Afghanistan; XA-188 version,0.12,9.72,9.72
EST,Norway,2016,,35,,CV-90,APC,0,,,Second hand,Second-hand CV-9030N version without armament; to be modified to several versions in Estonia; EUR 0.6 m deal,0.18,6.3,0
EST,Norway,1994,,1,,Storm,patrol craft,1,,1995,Second hand,Second-hand FAC; armament removed before delivery; aid; Estonian designation Torm; for border guard,3,3,3
EST,Poland,2022,,300,,Piorun,portable SAM,50,?,2023,New,EUR103 m deal (incl 100 launchers); delivery planned 2023-2025,0.08,24,4
EST,Sweden,1997,,8,,RBS-56 Bill,anti-tank missile,8,?,1998,New,Second-hand; loan; deal incl also 2 launchers; for use with BaltBat joint Baltic peacekeeing unit,0.02,0.16,0.16
EST,Sweden,2007,,4,?,Giraffe AMB,air search radar,4,?,2008; 2009; 2010,New,Part of EUR60 m deal; for use with Mistral SAM,7.5,30,30
EST,Sweden,2002,?,154,?,M/41D 120mm,mortar,154,?,2002; 2003; 2004; 2005,Second hand,Second-hand,0.1,15.4,15.4
EST,Sweden,1993,,13,,M/42 SKPF,APC,13,,1993,Second hand,Second-hand; aid,0.04,0.57,0.57
EST,Sweden,2021,?,,,RBS-70,portable SAM,0,,,New,,0.08,0,0
EST,Turkiye,2023,,115,?,ARMA,APC,0,,,New,Delivery planned from 2024,0.27,31.05,0
EST,Turkiye,2023,,115,?,NMS,APV,0,,,New,Delivery planned from 2024,0.18,20.7,0
EST,United Kingdom,2004,,7,,Mamba,APC/APV,7,,2004,Second hand,Second-hand; EEK6.5 m ($0.5 m) deal; incl for use with Estonian forces in Afghanistan,0.06,0.42,0.42
EST,United Kingdom,2006,,3,,Sandown,minehunter,3,,2007; 2008; 2009,Second hand,Second-hand; EUR51 m deal; incl 1 for training,18,54,54
EST,Ukraine,2012,,2,,L-39C Albatros,trainer aircraft,2,,2013,Second hand,Second-hand; leased via Latvian company,1.8,3.6,3.6
EST,United States,2022,,18,,ATACMS Block-1A,SSM,0,,,New,For HIMARS MRL; delivery planned from 2024,2,36,0
EST,United States,1997,,1,,Balsam,cargo ship,1,,1997,Second hand,Second-hand; for border guard; Estonian designation Valvas,4,4,4
EST,United States,2022,,864,?,GMLRS,guided rocket,0,,,New,For HIMARS MRL,0.08,69.12,0
EST,United States,2022,,6,,M-142 HIMARS,self-propelled MRL,0,,,New,Aid; delivery planned from 2024,1.1,6.6,0
EST,United States,2014,,240,?,FGM-148 Javelin,anti-tank missile,240,?,2015; 2016; 2017,New,Aid,0.03,7.2,7.2
EST,United States,2019,,128,,FGM-148 Javelin,anti-tank missile,128,,2020,New,Aid,0.03,3.84,3.84
EST,United States,2017,,2,,M28 Skytruck,light transport aircraft,2,?,2019,Second hand,Second-hand; aid,1.1,2.2,2.2
EST,United States,2019,?,9,?,M-ATV,APV,9,?,2021,New,For Spike-NLOS SSM/anti-ship system,0.25,2.25,2.25
EST,United States,2001,,4,,R-44,light helicopter,4,,2002,New,$2 m aid; incl 2 Clipper-1 and 2 Raven-1 version,0.25,1,1
EST,United States,2001,,1,,TPS-77,air search radar,1,,2003,New,$12 m deal (part of $30 m deal); for 'BALTNET' air surveillance network,11,11,11
GRG,Bulgaria,2009,?,12,?,D-20 152mm,towed gun,12,,2009,Second hand,Designation uncertain,0.2,2.4,2.4
GRG,Bulgaria,2011,?,12,?,D-30 122mm,towed gun,12,,2011,Second hand,Probably Second-hand but possibly Second-hand sold via Bulgaria; designation uncertain (reported as 122mm howitzer),0.14,1.68,1.68
GRG,Bulgaria,2006,,600,?,Fagot,anti-tank missile,600,?,2006; 2007,New,,0.01,6,6
GRG,Bulgaria,2003,?,14,,PM-43 120mm,mortar,14,,2004,Second hand,Designation uncertain,0.1,1.4,1.4
GRG,Bulgaria,2001,,2,,Project-106K,landing craft,2,,2001,Second hand,Second-hand; aid; Georgian designation Guria,4.88,9.76,9.76
GRG,Bulgaria,2005,?,4,?,Su-25,ground attack aircraft,4,?,2005,Second hand,Second-hand,4.6,18.4,18.4
GRG,Bulgaria,2013,?,5,?,T-72M1,tank,5,,2013,Second hand,Second-hand,1.04,5.2,5.2
GRG,Czechia,2001,?,6,,D-30 122mm,towed gun,6,,2001,Second hand,Second-hand,0.14,0.84,0.84
GRG,Czechia,2005,?,30,,D-30 122mm,towed gun,30,,2006,Second hand,Second-hand,0.14,4.2,4.2
GRG,Czechia,2003,?,24,?,DANA 152mm,self-propelled gun,24,?,2003; 2005; 2006,Second hand,Second-hand,0.4,9.6,9.6
GRG,Czechia,2004,?,25,?,M-75 120mm,mortar,25,?,2005,Second hand,Second-hand; designation uncertain,0.1,2.5,2.5
GRG,Czechia,2003,?,6,,RM-70 122mm,self-propelled MRL,6,,2004; 2005,Second hand,Second-hand,0.36,2.16,2.16
GRG,Czechia,2009,?,12,?,RM-70 122mm,self-propelled MRL,12,,2009,Second hand,Second-hand; delivered via Bulgaria,0.36,4.32,4.32
GRG,Czechia,2003,?,1,?,Su-25,ground attack aircraft,1,?,2006,Second hand,Second-hand; no. may be up to 12,4.6,4.6,4.6
GRG,Czechia,1998,,120,,T-55AM-2,tank,120,?,2000; 2001,Second hand,Second-hand; incl some T-54 tanks,0.6,72,72
GRG,Czechia,2002,?,55,?,T-72,tank,55,?,2005; 2006; 2007,Second hand,Second-hand,0.86,47.08,47.08
GRG,France,2015,,2,,Ground Master-200,air search radar,2,,2018,New,,10,20,20
GRG,France,2015,,1,,Ground Master-400,air search radar,1,,2018,New,,13,13,13
GRG,France,2015,,20,?,Mistral,portable SAM,20,?,2018,New,EUR50 m deal,0.09,1.8,1.8
GRG,Germany,1998,,1,,Lindau/Type-320,minesweeper,1,,1998,Second hand,Second-hand; Georgian designation Ayety; for coast guard; for use as patrol craft,4.4,4.4,4.4
GRG,Greece,2004,?,1,,Combattante-2,FAC,1,,2004,Second hand,Second-hand; delivered without missiles and probably torpedoes; Georgian designation Dioscuria,22,22,22
GRG,Greece,1998,?,2,,Dilos,patrol craft,2,,1998; 1999,Second hand,Second-hand,1.8,3.6,3.6
GRG,Israel,2004,?,2,?,Aerostar,UAV,2,?,2005,New,,0.1,0.2,0.2
GRG,Israel,2007,,5,?,Hermes-450,UAV,5,?,2007,New,,2,10,10
GRG,Israel,2006,?,4,?,LAR-160,self-propelled MRL,4,?,2007,New,For use with 122mm and 160mm rockets,0.9,3.6,3.6
GRG,Israel,2007,,75,?,Python-5,BVRAAM,75,?,2008,New,For SPYDER-SR SAM system,0.25,18.75,18.75
GRG,Israel,2007,,1,?,SPYDER-SR,SAM system,1,?,2008,New,,16,16,16
GRG,Israel,2008,?,13,?,Wolf,APC,13,?,2009,New,,0.16,2.08,2.08
GRG,Kazakhstan,2005,?,758,?,9M114 Kokon,anti-tank missile,758,,2006,Second hand,,0.01,6.06,6.06
GRG,Poland,2006,?,100,,Grom-2,portable SAM,100,,2007,New,Incl 30 launchers,0.08,8,8
GRG,Poland,2023,?,,,Piorun,portable SAM,0,,,New,,0.08,0,0
GRG,Poland,2022,,100,?,Warmate,loitering munition,10,?,2023,New,Produced under licence in Georgia,0.06,6,0.6
GRG,Russia,1993,,5,,T-72,tank,5,,1993,Second hand,Second-hand; transferred by Russian forces in Georgia,0.86,4.28,4.28
GRG,Turkiye,1998,,1,,AB-25,patrol craft,1,,1998,Second hand,Second-hand; Georgian designation Kutaisi,3.4,3.4,3.4
GRG,Turkiye,2006,?,100,?,Cobra,APV,100,?,2007; 2008,New,,0.15,15,15
GRG,Turkiye,2008,?,70,,Ejder,APC,70,?,2008; 2009,New,,0.3,21,21
GRG,Turkiye,2008,,2,,MRTP-33,patrol craft,2,,2008; 2009,New,Georgian designation Sokhumi,11.2,22.4,22.4
GRG,Turkiye,2001,?,2,,Bell-205/UH-1H,helicopter,2,,2001,Second hand,Second-hand; aid,1.05,2.1,2.1
GRG,Turkiye,2022,,46,?,Vuran,APC,0,,,New,,0.3,13.8,0
GRG,Ukraine,2004,,12,?,2S3 152mm,self-propelled gun,12,?,2004; 2005,Second hand,Second-hand,0.4,4.8,4.8
GRG,Ukraine,2006,?,5,?,2S7 Pion 203mm,self-propelled gun,5,?,2007,Second hand,Second-hand,0.44,2.2,2.2
GRG,Ukraine,2005,?,48,?,9M33,SAM,48,,2006,Second hand,Second-hand,0.04,1.92,1.92
GRG,Ukraine,2006,?,96,?,9M38,SAM,96,?,2007; 2008,Second hand,Second-hand,0.06,5.76,5.76
GRG,Ukraine,2007,?,15,?,BMP-1U,IFV,15,,2008,New,Second-hand BMP-1 rebuilt to BMP-1U,1.1,16.5,16.5
GRG,Ukraine,2004,,40,,BMP-2,IFV,40,,2004; 2005,Second hand,Second-hand,0.36,14.4,14.4
GRG,Ukraine,2006,?,6,,BREM-1,ARV,6,,2007,Second hand,Second-hand; BTS-5B version,0.56,3.36,3.36
GRG,Ukraine,2006,,30,?,BTR-70,APC,30,,2008; 2009,Second hand but modernized,Probably second-hand but modernized to BTR-70Di before delivery,0.18,5.35,5.35
GRG,Ukraine,2004,,23,?,BTR-80,APC,23,?,2004; 2005,Second hand,Second-hand; no. could be 30 or 43,0.14,3.22,3.22
GRG,Ukraine,2006,,2,?,Buk-1M,SAM system,2,?,2007; 2008,Second hand,Second-hand,20,40,40
GRG,Ukraine,2007,?,2,?,Kolchuga,air search system,2,?,2008,New,,9,18,18
GRG,Ukraine,2006,?,400,?,Kombat,anti-tank missile,400,?,2007,New,Designation uncertain,0.02,8,8
GRG,Ukraine,1997,?,10,?,L-29 Delfin,trainer aircraft,10,,1997,Second hand,Second-hand,0.4,4,4
GRG,Ukraine,2006,,8,?,L-39C Albatros,trainer aircraft,8,?,2007,Second hand,Second-hand,1.8,14.4,14.4
GRG,Ukraine,2004,?,2,?,Mi-17,transport helicopter,2,,2005,Second hand,Second-handrainian; Mi-8MT or Mi-8MTV version,2.9,5.8,5.8
GRG,Ukraine,2004,?,3,,Mi-24P/Mi-35P,combat helicopter,3,,2005,Second hand,Second-hand,3.6,10.8,10.8
GRG,Ukraine,2004,?,3,,Mi-24V/Mi-35,combat helicopter,3,,2005,Second hand,Second-hand,3.4,10.2,10.2
GRG,Ukraine,2005,?,6,?,Osa,mobile SAM system,6,?,2006; 2008,Second hand,Second-hand but possibly modernized before delivery,4,24,24
GRG,Ukraine,1999,?,5,?,P-15M,anti-ship missile,5,?,1999,Second hand,Second-hand; for Matka (Tblisi) FAC,0.3,1.5,1.5
GRG,Ukraine,1998,,2,,Project-205P,patrol craft,2,?,1998,Second hand,Second-hand; delivered without armament; Georgian designation Batumi; incl 1 for coast guard,9,18,18
GRG,Ukraine,1999,,1,,Project-206MR Vikhr,FAC,1,,1999,Second hand,Second-hand; Georgian designation Tblisi; 1 more delivered for spare parts only,20,20,20
GRG,Ukraine,2005,,2,,ST-68,air search radar,2,?,2006,New,,12.5,25,25
GRG,Ukraine,2004,?,90,?,T-72M1,tank,90,,2005; 2007,Second hand,Second-hand,1.04,93.6,93.6
GRG,United States,2014,?,10,,Cougar,APC,10,?,2014,Second hand,Second-hand; aid,0.14,1.4,1.4
GRG,United States,2015,,2,,Island,patrol craft,2,,2017,Second hand,Second-hand but possibly modernized before delivery; aid,3.68,7.36,7.36
GRG,United States,2017,,410,?,FGM-148 Javelin,anti-tank missile,410,?,2018; 2019,New,,0.03,12.3,12.3
GRG,United States,2022,,82,,FGM-148 Javelin,anti-tank missile,82,,2022,New,USD26 m deal,0.03,2.46,2.46
GRG,United States,1999,,6,,Bell-205/UH-1H,helicopter,6,,2001,Second hand,Second-hand; aid; 4 more for spares only; in exchange for help in 'War on Terrorism',1.05,6.29,6.29
GRG,United States,2008,?,70,?,vehicle engine,vehicle engine,70,?,2008; 2009,New,Cummins 400hp diesel engine; for 70 Ejder APC from Turkey,0.05,3.5,3.5
GRG,United States,2022,,46,?,vehicle engine,vehicle engine,0,,,New,Cummins ISL-9 (375hp) diesel engine for 46 Vuran APC from Türkiye,0.05,2.3,0
GRG,Uzbekistan,2004,,1,,Mi-24P/Mi-35P,combat helicopter,1,?,2005,Second hand,Second-hand,3.6,3.6,3.6
KZK,Canada,2012,,4,?,aircraft engine,aircraft engine,4,?,2013,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 2 C-295 transport aircraft from Spain,0.75,3,3
KZK,Canada,2013,,4,?,aircraft engine,aircraft engine,4,,2014,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 2 C-295 transport aircraft from Spain,0.75,3,3
KZK,Canada,2015,,4,?,aircraft engine,aircraft engine,4,?,2016,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 2 C-295 transport aircraft from Spain,0.75,3,3
KZK,Canada,2017,,4,?,aircraft engine,aircraft engine,4,?,2017,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 2 C-295 transport aircraft from Spain,0.75,3,3
KZK,Canada,2022,,2,,aircraft engine,aircraft engine,2,,2023,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 1 C-295 transport aircraft from Spain,0.75,1.5,1.5
KZK,China,2015,,50,?,Blue Arrow-7,anti-tank missile,50,?,2016,New,For Wing Loong-2 UCAV,0.04,2,2
KZK,China,2015,?,3,?,Wing Loong-1,armed UAV,3,,2016,New,,3,9,9
KZK,Czechia,2022,,2,,L-410 Turbolet,light transport aircraft,2,,2023,New,L-410UVP-E20 version,2.6,5.2,5.2
KZK,France,2014,?,20,?,Ground Master-400,air search radar,1,?,2023,New,Produced under licence in Kazakhstan as Nur,13,260,13
KZK,France,2013,,1,,Ground Master-400,air search radar,1,,2014,New,,13,13,13
KZK,Germany,2010,,12,?,EC145,light helicopter,12,?,2011; 2012; 2013; 2014; 2015; 2016; 2017,New,Incl assembly in Kazakhstan as KH-145 (more delivered to non-military government agencies),3.25,39,39
KZK,Germany,2021,,8,,TP400-D6,turboprop,0,,,New,For 2 A400M transport aircraft from Spain,3,24,0
KZK,Israel,2007,?,18,?,CARDOM 120mm,mortar,18,?,2008; 2009,New,Part of $120m deal; Kazakh 2B11 mortars rebuilt to Cardom version for use on Kazakh MT-LB APC; Kazakh designation Aybat,0.25,4.5,4.5
KZK,Israel,2007,?,50,?,EXTRA,guided rocket/SSM,50,?,2008; 2009,New,For Lynx MRL,0.15,7.5,7.5
KZK,Israel,2007,?,10,?,Litening,aircraft EO system,10,?,2009; 2010,New,Litening-3 version; for Su-27 combat aircraft modernized in Belarus to Su-27M2,1,10,10
KZK,Israel,2006,?,18,?,Lynx,self-propelled MRL,18,?,2008; 2009,New,$30 m deal; Kazakh designation Nayza,1.1,19.8,19.8
KZK,Israel,2017,?,20,?,SandCat,APV,20,?,2018; 2019,New,Produced under licence in Kazakhstan as Alan,0.14,2.8,2.8
KZK,Israel,2006,?,6,?,Semser 122mm,self-propelled gun,6,?,2008; 2009,New,Part of $120m deal; Kazakh D-30 towed guns rebuilt to Semser self-propelled version on truck chassis from Russia,0.7,4.2,4.2
KZK,South Korea,2005,,3,,Sea Dolphin,patrol craft,3,,2006,Second hand,Second-hand; aid; armament removed before delivery,4.8,14.4,14.4
KZK,Russia,1998,,40,?,5V55U,SAM,40,?,2000,Second hand,Second-hand,0.4,16,16
KZK,Russia,2013,?,200,?,5V55U,SAM,200,?,2015,Second hand,Probably second-hand; aid,0.4,80,80
KZK,Russia,2017,?,100,?,9M317,SAM,100,?,2021,New,For Buk-M2 SAM systems,0.25,25,25
KZK,Russia,2021,?,200,?,9M338,SAM,200,?,2022; 2023,New,For 8 Tor-M2K SAM systems,0.25,50,50
KZK,Russia,2007,,3,?,ANSAT,light helicopter,3,?,2008; 2009,New,,2.9,8.7,8.7
KZK,Russia,2010,?,120,?,9M120 Ataka,anti-tank missile,120,?,2011; 2012; 2013,New,For BMPT AFSV,0.04,4.8,4.8
KZK,Russia,2010,?,10,?,BMPT Terminator,AFSV,10,?,2011; 2012; 2013,New,,2.6,26,26
KZK,Russia,2006,,18,,BPM-97,APC,18,,2008,New,Probably for border guard,0.15,2.7,2.7
KZK,Russia,2006,,1,?,BTR-80,APC,1,,2008,New,,0.35,0.35,0.35
KZK,Russia,2011,?,17,?,BTR-80,APC,17,,2012,New,,0.35,5.95,5.95
KZK,Russia,2003,?,14,?,BTR-80A,IFV,14,,2004; 2005,New,,0.9,12.6,12.6
KZK,Russia,2007,,79,?,BTR-80A,IFV,79,?,2007; 2008; 2010,New,Possibly $40 m deal,0.9,71.1,71.1
KZK,Russia,2010,?,44,?,BTR-82A,IFV,44,?,2011; 2012,New,,0.95,41.8,41.8
KZK,Russia,2012,?,90,,BTR-82A,IFV,90,?,2015; 2016; 2017,New,,0.95,85.5,85.5
KZK,Russia,2018,,1,,Buk-M2,SAM system,1,,2021,New,Buk-M2E version,60,60,60
KZK,Russia,2010,?,20,?,Igla-1,portable SAM,20,?,2013; 2014,New,For Project-22180 patrol craft,0.07,1.4,1.4
KZK,Russia,1998,,1,,Il-76M,heavy transport aircraft,1,,2000,Second hand,Second-hand,34,34,34
KZK,Russia,1995,?,13,?,L-39C Albatros,trainer aircraft,13,?,1996; 2000,Second hand,Second-hand; payment for Russian debt to Kazakhstan,1.8,23.4,23.4
KZK,Russia,2013,,1,,Project-10750/Lida,MCM ship,1,,2017,New,Kazakh designation Alatau,17.5,17.5,17.5
KZK,Russia,2002,?,3,?,Mi-17,transport helicopter,3,?,2002,New,Mi-17V-5 version,7.25,21.75,21.75
KZK,Russia,2002,?,14,?,Mi-17,transport helicopter,14,?,2004; 2005; 2006; 2007,New,$63 m deal; Mi-17 version; for anti-terrorist and anti-narcotics operations,7.25,101.5,101.5
KZK,Russia,2007,,12,?,Mi-17,transport helicopter,12,?,2009; 2010; 2011; 2012,New,Mi-17V-5 version,7.25,87,87
KZK,Russia,2012,?,10,?,Mi-17,transport helicopter,10,,2013; 2014; 2015,New,Mi-171Sh armed version; for border guard,7.25,72.5,72.5
KZK,Russia,2016,,3,?,Mi-17,transport helicopter,3,?,2016; 2017,New,Mi-17Sh version; for border guard,7.25,21.75,21.75
KZK,Russia,2015,,4,,Mi-35M,combat helicopter,4,?,2016,New,,11.5,46,46
KZK,Russia,2017,,4,,Mi-35M,combat helicopter,4,?,2018,New,,11.5,46,46
KZK,Russia,2018,,4,,Mi-35M,combat helicopter,4,,2020,New,,11.5,46,46
KZK,Russia,2022,,4,?,Mi-35M,combat helicopter,1,?,2023,New,,11.5,46,11.5
KZK,Russia,1995,,12,?,MiG-29,fighter aircraft,12,?,1995,Second hand,Ex-Russian; payment for debt,8.26,99.12,99.12
KZK,Russia,2007,,2,?,N-001 Myech,combat aircraft radar,2,?,2010,New,N-001V version: for 2 Su-27UB combat aircraft modernized to Su-27UBM2 in Belarus,2,4,4
KZK,Russia,2009,,3,,Project-22180,patrol craft,3,?,2010; 2013; 2014,New,Kazakh designation Sardar,14,42,42
KZK,Russia,1998,,1,,S-300P,SAM system,1,,2000,Second hand,Second-hand,15,15,15
KZK,Russia,2013,?,5,?,S-300PS,SAM system,5,?,2015,Second hand,Second-hand (but possibly modernized before delivery); aid as part of unified Russia-Belarus-Kazakhstan air defence network,17,85,85
KZK,Russia,1995,,14,?,Su-25,ground attack aircraft,14,?,1997,Second hand,Second-hand; payment for Russian debt to Kazakhstan,4.6,64.4,64.4
KZK,Russia,1995,?,14,?,Su-27S,FGA aircraft,14,,1999; 2000; 2001,Second hand,Second-hand; payment for debt,17,238,238
KZK,Russia,2014,?,4,,Su-30MK,FGA aircraft,4,,2015,New,Su-30SM version,55,220,220
KZK,Russia,2015,?,8,,Su-30MK,FGA aircraft,8,,2016; 2017; 2018,New,Su-30SM version,55,440,440
KZK,Russia,2017,,12,,Su-30MK,FGA aircraft,10,,2019; 2020; 2022,New,Su-30SM version,55,660,550
KZK,Russia,2010,?,21,?,Tigr,APV,21,?,2011; 2012,New,,0.15,3.15,3.15
KZK,Russia,2018,?,23,?,Tigr,APV,23,,2018; 2022,New,,0.15,3.45,3.45
KZK,Russia,2021,?,8,?,Tor-M1,mobile SAM system,8,?,2022; 2023,New,Tor-M2K version,12.5,100,100
KZK,Russia,2010,?,3,?,TOS-1,self-propelled MRL,3,?,2011,New,,1.2,3.6,3.6
KZK,South Africa,2013,,90,?,Marauder,APC,90,?,2016; 2017; 2018,New,Produced under licence in Kazakhstan as Arlan,0.22,19.8,19.8
KZK,South Africa,2018,,41,?,Marauder,APC,41,?,2019; 2020,New,Produced under licence in Kazakhstan as Arlan,0.22,9.02,9.02
KZK,South Africa,2020,?,,,Mbombe-6,IFV,0,,,New,Barys version; assembled or produced under licence in Kazakhstan,0.62,0,0
KZK,Spain,2021,,2,,A400M Atlas,transport aircraft,0,,,New,Delivery from 2024,85,170,0
KZK,Spain,2012,,2,,C-295,transport aircraft,2,,2013,New,,12.5,25,25
KZK,Spain,2013,,2,,C-295,transport aircraft,2,,2014,New,,12.5,25,25
KZK,Spain,2015,?,2,,C-295,transport aircraft,2,?,2016,New,,12.5,25,25
KZK,Spain,2017,,2,,C-295,transport aircraft,2,,2017,New,,12.5,25,25
KZK,Spain,2022,?,1,,C-295,transport aircraft,1,,2023,New,,12.5,12.5,12.5
KZK,Turkiye,2001,,1,,AB-25,patrol craft,1,,2001,Second hand,Second-hand; aid,3.4,3.4,3.4
KZK,Turkiye,1999,,1,,AB-25,patrol craft,1,,1999,Second hand,Second-hand; aid,3.4,3.4,3.4
KZK,Turkiye,2021,,3,,Anka,armed UAV,3,?,2022; 2023,New,Anka-S version,3,9,9
KZK,Turkiye,2022,,,,Anka,armed UAV,0,,,New,Assembled/produced under licence in Kazakhstan; delivery planned from 2024,3,0,0
KZK,Turkiye,2012,?,7,,Cobra,APV,7,,2012,New,,0.15,1.05,1.05
KZK,Turkiye,2012,,40,?,Cobra,APV,40,?,2014,New,Possibly incl assembly in Kazakhstan,0.15,6,6
KZK,Turkiye,2016,,131,?,SARP-Dual,IFV turret,131,?,2016; 2017; 2018; 2019; 2020,New,For Marauder (Arlan) APC from South Africa; possibly assembled or produced under licence in Kazakhstan,0.05,6.55,6.55
KZK,Ukraine,2010,?,2,,An-72A,transport aircraft,2,?,2011; 2012,Second hand,Second-hand,10,20,20
KZK,Ukraine,2012,,2,,An-74,transport aircraft,2,?,2013,New,An-74TK-200 version,26,52,52
KZK,Ukraine,2005,?,2,?,BTR-3,IFV,2,,2005,New,BTR-3E version,1,2,2
KZK,Ukraine,1999,?,3,?,Kh-29,ASM,3,?,1999,Second hand,Second-hand,0.08,0.24,0.24
KZK,Ukraine,2013,?,40,?,R-2,anti-tank missile,40,?,2013; 2014,New,For 2 Project-22180 patrol craft from Russia,0.04,1.6,1.6
KZK,Ukraine,1999,?,4,?,R-23,SRAAM,4,?,1999,Second hand,Second-hand,0.05,0.19,0.19
KZK,Ukraine,2005,?,50,?,R-27R/T,BVRAAM,50,,2005; 2006; 2007,New,,0.19,9.5,9.5
KZK,Ukraine,2011,?,24,?,R-27R/T,BVRAAM,24,,2012; 2013,New,R-27ER (AA-10C) version,0.19,4.56,4.56
KZK,Ukraine,1999,?,4,?,R-73,SRAAM,4,?,1999,Second hand,Second-hand,0.06,0.24,0.24
